연번,발송일시,제목,내용,유형,데이터기준일자
11,2025-05-23 10:30:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청(www.gpmedia.or.kr) ○ 신청결과 : 접수마감일 이후 3일 이내 교육비 결제 방법 등 문자 안내 예정  ※ 문의사항 ☎ 031-399-8975 ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
12,2025-04-15 09:34:20,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청(www.gpmedia.or.kr) ○ 신청결과 : 접수마감일 이후 3일 이내 교육비 결제 방법 등 문자 안내 예정  ※ 문의사항 ☎ 031-399-8975 ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
13,2025-04-11 13:41:31,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청(www.gpmedia.or.kr) ○ 신청결과 : 접수마감일 이후 3일 이내 교육비 결제 방법 등 문자 안내 예정  ※ 문의사항 ☎ 031-399-8975 ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
14,2025-04-08 13:30:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청(www.gpmedia.or.kr) ○ 신청결과 : 접수마감일 이후 3일 이내 교육비 결제 방법 등 문자 안내 예정  ※ 문의사항 ☎ 031-399-8975 ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
15,2025-04-08 09:30:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청(www.gpmedia.or.kr) ○ 신청결과 : 접수마감일 이후 3일 이내 교육비 결제 방법 등 문자 안내 예정  ※ 문의사항 ☎ 031-399-8975 ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
16,2025-04-04 11:00:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
17,2025-04-04 11:00:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
18,2025-04-01 09:30:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
19,2025-03-25 10:00:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
20,2025-03-18 09:30:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
21,2025-02-18 13:00:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
22,2025-02-18 11:00:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
23,2025-02-18 09:38:25,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
24,2025-01-24 14:00:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
25,2025-01-22 17:00:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
26,2025-01-22 10:30:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
27,2025-01-22 10:30:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
28,2025-01-20 16:00:00,,<군포시미디어센터 #{교육명} 수강생 모집 안내>  #{모집내용} #{문의번호},알림톡,2025-06-16
29,2025-01-04 10:40:00,,<군포시미디어센터 미디어교육 안내>  ○ 교육강좌 : #{교육명} ○ 신청기간 : #{신청기간}/선착순 모집 ○ 교육기간 : (#{교육기간}/#{차시}) ○ 교육방법 : 대면교육 ○ 모집대상 : #{모집대상및인원} ○ 신청방법 : 센터 홈페이지 가입 후 신청 　　　　　　(www.gpmedia.or.kr) ○ 신청결과 : 접수마감 후 3일 이내 문자  　　　　　　안내 예정  ※ 온라인 신청이 어려운 경우 유선 문의 　(☎ 031-399-8975) ※ 운영시간 : 화~토 9:00-18:00 　(일 · 월 · 법정공휴일 휴관) ※ 교육 신청 시 주차등록란 기입 필수,알림톡,2025-06-16
30,2025-06-16 14:05:05,국가암검진 안내,안녕하세요. 산본보건지소입니다.  귀하는 2025년 국가암검진 대상자이십니다. 가까운 검진기관에 예약하시고 방문하시어 꼭 검진받으시기 바랍니다.  건강한 하루 되세요~,장문,2025-06-16
31,2025-05-23 13:58:18,국가암검진 안내,안녕하세요. 산본보건지소입니다.  귀하는 2025년 암검진 대상자이십니다. 가까운 검진병원에 예약하고 내원하시어 검진 꼭 받으시기 바랍니다.  오늘도 건강한 하루 되세요~^^,장문,2025-06-16
32,2025-05-23 13:51:10,국가암검진 안내,안녕하세요. 산본보건지소입니다.  귀하는 2025년 암검진 대상자이십니다. 가까운 검진병원에 예약하고 내원하시어 검진 꼭 받으시기 바랍니다.  오늘도 건강한 하루 되세요~^^,장문,2025-06-16
33,2025-05-02 13:50:00,암검진 안내 문자,안녕하세요. 산본보건지소입니다. 귀하는 올해 암검진 대상자이십니다. 가까운 병원에 예약하시어 암검진 꼭 받으시기 바랍니다. 건강한 하루 보내세요~,장문,2025-06-16
34,2025-03-28 10:14:17,국가암검진 안내,안녕하세요. 올해 국가암검진 대상자이오니 검진기관에 예약하시고 방문하시어 꼭 검진 받으시기 바랍니다. 일교차 큰 날씨에 감기조심하시고 건강하세요.,멀티,2025-06-16
35,2025-06-02 09:00:00,,"★ 기억력 검사 안내 ★ ▶ 지역주민 누구나 ▶ 군포시치매안심센터 (산본로 329, 경원빌딩 8층)로 오셔서 기억력 검사 받으시기 바랍니다. ▶ 점심시간 (12시~오후1시) ☞ 기억력검사는 일년에 한번 ☞ 올해 검사 받은 분은 제외 - 군포시치매안심센터",장문,2025-06-16
36,2025-06-01 14:00:00,,"★ 기억력 검사 안내 ★ ▶ 지역주민 누구나 ▶ 군포시치매안심센터 (산본로 329, 경원빌딩 8층)로 오셔서 기억력 검사 받으시기 바랍니다. ▶ 점심시간 (12시~오후1시) ☞ 기억력검사는 일년에 한번 ☞ 올해 검사 받은 분은 제외 - 군포시치매안심센터",장문,2025-06-16
37,2025-03-31 12:40:05,,"군포시치매안심센터와 함께하는 한마음치매극복걷기 행사안내!!!  일시:4월3일(목)9시30분  장소:초막골생태공원  대상:지역주민 누구나 함께 ""걷기""실천으로 치매예방도 하고 홍보품도 받으세요~",멀티,2025-06-16
38,2025-03-24 14:01:40,,군포시치매안심센터와 함께하는 한마음치매극복걷기 행사안내!!!  일시:4월3일(목)9시30분 장소:초막골생태공원,멀티,2025-06-16
39,2025-06-05 15:11:07,,"군포시 보건소 치매안심센터입니다     **치매바로알기, 치매파트너교육 장소: 군포시치매안심센터 교육실   (군포시청 건너편 경원빌딩 8층) 일시: 6월9일(월) 오후2시~오후3시  시간되시는분들은 참석하셔서 치매예방!! 치매극복!! 하세요",장문,2025-06-16
40,2025-03-31 13:37:15,,"군포시치매안심센터와 함께하는 한마음치매극복걷기 행사안내!!!  일시:4월3일(목)9시30분  장소:초막골생태공원  대상:지역주민 누구나 함께 ""걷기""실천으로 치매예방도 하고 홍보품도 받으세요~",멀티,2025-06-16
41,2025-03-24 14:23:14,,군포시치매안심센터와 함께하는 한마음치매극복걷기 행사안내!!!  일시:4월3일(목)9시30분 장소:초막골생태공원,멀티,2025-06-16
